chr,start,end,strand,name,id
chr1,17409,17431,-,"hsa-miR-6859-5p","MI0022705"
chr1,17369,17391,-,"hsa-miR-6859-3p","MI0022705"
chr1,30438,30458,+,"hsa-miR-1302","MI0006363"
chr1,187931,187953,-,"hsa-miR-6859-5p","MI0026420"
chr1,187891,187913,-,"hsa-miR-6859-3p","MI0026420"
chr1,632668,632685,-,"hsa-miR-12136","MI0039740"
chr1,1167124,1167145,+,"hsa-miR-200b-5p","MI0000342"
chr1,1167160,1167181,+,"hsa-miR-200b-3p","MI0000342"
chr1,1167878,1167899,+,"hsa-miR-200a-5p","MI0000737"
chr1,1167916,1167937,+,"hsa-miR-200a-3p","MI0000737"
chr1,1169055,1169076,+,"hsa-miR-429","MI0001641"
chr1,1296145,1296165,-,"hsa-miR-6726-5p","MI0022571"
chr1,1296110,1296129,-,"hsa-miR-6726-3p","MI0022571"
chr1,1312539,1312561,-,"hsa-miR-6727-5p","MI0022572"
chr1,1312502,1312521,-,"hsa-miR-6727-3p","MI0022572"
chr1,1339682,1339703,-,"hsa-miR-6808-5p","MI0022653"
chr1,1339650,1339670,-,"hsa-miR-6808-3p","MI0022653"
chr1,3128009,3128025,+,"hsa-miR-4251","MI0015861"
chr1,3560710,3560730,-,"hsa-miR-551a","MI0003556"
chr1,5862711,5862732,-,"hsa-miR-4689","MI0017322"
chr1,6429844,6429862,-,"hsa-miR-4252","MI0015864"
chr1,8866563,8866585,-,"hsa-miR-6728-5p","MI0022573"
chr1,8866502,8866522,-,"hsa-miR-6728-3p","MI0022573"
chr1,9151735,9151756,-,"hsa-miR-34a-5p","MI0000268"
chr1,9151693,9151714,-,"hsa-miR-34a-3p","MI0000268"
chr1,9967390,9967411,+,"hsa-miR-5697","MI0019304"
chr1,12029163,12029184,+,"hsa-miR-6729-5p","MI0022574"
chr1,12029202,12029222,+,"hsa-miR-6729-3p","MI0022574"
chr1,12167010,12167030,+,"hsa-miR-7846-3p","MI0025516"
